whiteRabit,0,0,1,0,10,0,5,5,-3,-1,0,3,5,0,0
フォックステール,0,0,1,0,10,0,5,3,0,-3,-1,5,5,0,0
イヌワシ,0,0,1,0,15,0,7,-3,0,5,-1,3,5,0,0
アルカナソルジャー,0,0,1,0,20,0,7,5,-3,-3,3,-3,5,0,0
シバベロス,0,0,1,0,10,0,5,0,-1,3,5,-1,5,0,0
スライム,0,0,2,0,5,0,5,2,2,2,2,2,5,0,0
レッドシザーズ,0,0,2,0,10,0,5,-1,5,3,-1,-1,5,0,0
グアンロン,0,0,2,0,20,0,7,-3,-1,5,-3,3,5,0,0
ウーパー,0,0,2,0,20,0,6,1,3,-1,-1,5,5,0,0
ブルーパイソン,0,0,3,0,10,0,5,0,5,3,-1,-1,5,0,0
レッドスコーピオン,0,0,3,0,15,0,6,0,-3,-3,5,1,5,0,0
デザートホッパー,0,0,3,0,25,0,6,5,-3,3,-3,-3,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
